2023-08-14 10:34:08,961 | log | INFO | 22222
2023-08-15 16:04:49,120 | log | INFO | write db done
2023-08-15 16:05:31,240 | log | INFO | Start connecting to database...
2023-08-15 16:05:31,274 | log | INFO | Successfully connected...
2023-08-15 16:05:31,275 | log | INFO | Establishing Table
2023-08-15 16:07:13,103 | log | INFO | Start connecting to database...
2023-08-15 16:07:13,135 | log | INFO | Successfully connected...
2023-08-15 16:07:13,135 | log | INFO | Establishing Table
2023-08-15 16:07:13,139 | log | INFO | Start read the data
2023-08-15 16:07:13,142 | log | INFO | ----Completed 1 lines-----
2023-08-15 16:07:13,142 | log | INFO | ----Completed 2 lines-----
2023-08-15 16:07:13,143 | log | INFO | ----Completed 3 lines-----
2023-08-15 16:07:13,143 | log | INFO | Start inserting the 1 LOG data
2023-08-15 16:07:48,350 | log | INFO | Start connecting to database...
2023-08-15 16:07:48,378 | log | INFO | Successfully connected...
2023-08-15 16:07:48,378 | log | INFO | Establishing Table
2023-08-15 16:07:48,383 | log | INFO | Start read the data
2023-08-15 16:07:48,387 | log | INFO | ----Completed 1 lines-----
2023-08-15 16:07:48,387 | log | INFO | ----Completed 2 lines-----
2023-08-15 16:07:48,388 | log | INFO | ----Completed 3 lines-----
2023-08-15 16:07:48,388 | log | INFO | Start inserting the 1 LOG data
2023-08-15 16:09:13,281 | log | INFO | Start connecting to database...
2023-08-15 16:09:13,321 | log | INFO | Successfully connected...
2023-08-15 16:09:13,322 | log | INFO | Establishing Table
2023-08-15 16:09:13,325 | log | INFO | Start read the data
2023-08-15 16:09:13,328 | log | INFO | ----Completed 1 lines-----
2023-08-15 16:09:13,329 | log | INFO | ----Completed 2 lines-----
2023-08-15 16:09:13,329 | log | INFO | ----Completed 3 lines-----
2023-08-15 16:09:13,330 | log | INFO | Start inserting the 1 LOG data
2023-08-15 16:10:33,477 | log | INFO | Start connecting to database...
2023-08-15 16:10:33,511 | log | INFO | Successfully connected...
2023-08-15 16:10:33,512 | log | INFO | Establishing Table
2023-08-15 16:11:04,943 | log | INFO | Start connecting to database...
2023-08-15 16:11:04,984 | log | INFO | Successfully connected...
2023-08-15 16:11:04,984 | log | INFO | Establishing Table
2023-08-15 16:11:04,988 | log | INFO | Start read the data
2023-08-15 16:11:04,991 | log | INFO | ----Completed 1 lines-----
2023-08-15 16:11:04,991 | log | INFO | ----Completed 2 lines-----
2023-08-15 16:11:04,992 | log | INFO | ----Completed 3 lines-----
2023-08-15 16:11:04,992 | log | INFO | Start inserting the 1 LOG data
2023-08-15 16:11:06,456 | log | INFO | Successfully inserted the 1 LOG data
2023-08-15 16:11:06,458 | log | INFO | Start inserting the 2 LOG data
2023-08-15 16:11:06,733 | log | INFO | Successfully inserted the 2 LOG data
2023-08-15 16:11:06,734 | log | INFO | Start inserting the 3 LOG data
2023-08-15 16:11:06,940 | log | INFO | Successfully inserted the 3 LOG data
2023-08-15 16:11:06,941 | log | INFO | write db done
2023-08-16 10:12:56,972 | log | INFO | Start connecting to database...
2023-08-16 10:12:57,152 | log | INFO | Successfully connected...
2023-08-16 10:13:03,488 | log | INFO | Establishing Table
2023-08-16 10:13:03,497 | log | INFO | Start read the data
2023-08-16 10:13:10,451 | log | INFO | ----Completed 1 lines-----
2023-08-16 10:13:10,452 | log | INFO | ----Completed 2 lines-----
2023-08-16 10:13:10,453 | log | INFO | ----Completed 3 lines-----
2023-08-16 10:13:10,453 | log | INFO | Start inserting the 1 LOG data
2023-08-16 10:14:06,514 | log | INFO | Start connecting to database...
2023-08-16 10:14:06,573 | log | INFO | Successfully connected...
2023-08-16 10:14:06,573 | log | INFO | Establishing Table
2023-08-16 10:14:06,580 | log | INFO | Start read the data
2023-08-16 10:14:06,586 | log | INFO | ----Completed 1 lines-----
2023-08-16 10:14:06,586 | log | INFO | ----Completed 2 lines-----
2023-08-16 10:14:06,587 | log | INFO | ----Completed 3 lines-----
2023-08-16 10:14:06,587 | log | INFO | Start inserting the 1 LOG data
2023-08-16 10:15:10,216 | log | INFO | Start connecting to database...
2023-08-16 10:15:10,282 | log | INFO | Successfully connected...
2023-08-16 10:15:10,284 | log | INFO | Establishing Table
2023-08-16 10:15:10,291 | log | INFO | Start read the data
2023-08-16 10:15:10,294 | log | INFO | write db done
2023-08-16 11:03:25,903 | log | INFO | Start connecting to database...
2023-08-16 11:03:25,970 | log | INFO | Successfully connected...
2023-08-16 11:03:25,970 | log | INFO | Establishing Table
2023-08-16 11:03:25,978 | log | INFO | Start read the data
2023-08-16 11:03:25,985 | log | INFO | write db done
2023-08-16 11:46:04,830 | log | INFO | Start connecting to database...
2023-08-16 11:46:04,964 | log | INFO | Successfully connected...
2023-08-16 11:46:04,964 | log | INFO | Establishing Table
2023-08-16 11:46:04,969 | log | INFO | Start read the data
2023-08-16 11:46:04,983 | log | INFO | write db done
2023-08-16 11:46:41,370 | log | INFO | Start connecting to database...
2023-08-16 11:46:41,403 | log | INFO | Successfully connected...
2023-08-16 11:46:41,403 | log | INFO | Establishing Table
2023-08-16 11:46:41,406 | log | INFO | Start read the data
2023-08-16 11:46:41,409 | log | INFO | write db done
2023-08-16 11:48:41,590 | log | INFO | Start connecting to database...
2023-08-16 11:48:41,622 | log | INFO | Successfully connected...
2023-08-16 11:48:41,622 | log | INFO | Establishing Table
2023-08-16 11:48:43,534 | log | INFO | Start read the data
2023-08-16 11:48:43,550 | log | INFO | write db done
2023-08-16 11:50:17,301 | log | INFO | Start connecting to database...
2023-08-16 11:50:17,333 | log | INFO | Successfully connected...
2023-08-16 11:50:17,333 | log | INFO | Establishing Table
2023-08-16 11:50:19,063 | log | INFO | Start read the data
2023-08-16 11:50:19,077 | log | INFO | write db done
2023-08-16 11:53:48,534 | log | INFO | Start connecting to database...
2023-08-16 11:53:48,570 | log | INFO | Successfully connected...
2023-08-16 11:53:48,571 | log | INFO | Establishing Table
2023-08-16 11:53:50,364 | log | INFO | Start read the data
2023-08-16 11:53:50,390 | log | INFO | write db done
2023-08-16 11:58:12,354 | log | INFO | Start connecting to database...
2023-08-16 11:58:12,390 | log | INFO | Successfully connected...
2023-08-16 11:58:12,391 | log | INFO | Establishing Table
2023-08-16 12:02:56,381 | log | INFO | Start connecting to database...
2023-08-16 12:02:56,416 | log | INFO | Successfully connected...
2023-08-16 12:02:56,417 | log | INFO | Establishing Table
2023-08-16 12:02:58,027 | log | INFO | Start read the data
2023-08-16 12:02:58,043 | log | INFO | write db done
2023-08-16 12:04:04,218 | log | INFO | Start connecting to database...
2023-08-16 12:04:04,289 | log | INFO | Successfully connected...
2023-08-16 12:04:04,289 | log | INFO | Establishing Table
2023-08-16 12:04:06,059 | log | INFO | Start read the data
2023-08-16 12:08:18,437 | log | INFO | Start connecting to database...
2023-08-16 12:08:18,472 | log | INFO | Successfully connected...
2023-08-16 12:08:18,473 | log | INFO | Establishing Table
2023-08-16 12:08:20,098 | log | INFO | Start read the data
2023-08-16 12:08:20,117 | log | INFO | write db done
2023-08-16 12:15:05,713 | log | INFO | Start connecting to database...
2023-08-16 12:15:05,779 | log | INFO | Successfully connected...
2023-08-16 12:15:05,781 | log | INFO | Establishing Table
2023-08-16 12:15:07,437 | log | INFO | Start read the data
2023-08-16 12:16:05,893 | log | INFO | Start connecting to database...
2023-08-16 12:16:05,956 | log | INFO | Successfully connected...
2023-08-16 12:16:05,958 | log | INFO | Establishing Table
2023-08-16 12:16:07,606 | log | INFO | Start read the data
2023-08-16 12:18:05,559 | log | INFO | Start connecting to database...
2023-08-16 12:18:05,590 | log | INFO | Successfully connected...
2023-08-16 12:18:05,590 | log | INFO | Establishing Table
2023-08-16 12:18:07,985 | log | INFO | Start read the data
2023-08-16 12:18:08,004 | log | INFO | ----Completed 1 lines-----
2023-08-16 12:18:08,004 | log | INFO | ----Completed 2 lines-----
2023-08-16 12:18:08,004 | log | INFO | ----Completed 3 lines-----
2023-08-16 12:18:08,005 | log | INFO | Start inserting the 1 LOG data
2023-08-16 12:18:09,243 | log | INFO | Successfully inserted the 1 LOG data
2023-08-16 12:18:09,244 | log | INFO | Start inserting the 2 LOG data
2023-08-16 12:18:09,522 | log | INFO | Successfully inserted the 2 LOG data
2023-08-16 12:18:09,523 | log | INFO | Start inserting the 3 LOG data
2023-08-16 12:18:09,738 | log | INFO | Successfully inserted the 3 LOG data
2023-08-16 12:18:09,738 | log | INFO | write db done
2023-08-16 12:18:59,100 | log | INFO | Start connecting to database...
2023-08-16 12:18:59,162 | log | INFO | Successfully connected...
2023-08-16 12:18:59,163 | log | INFO | Establishing Table
2023-08-16 12:19:00,933 | log | INFO | Start read the data
2023-08-16 13:49:28,961 | log | INFO | ----Completed 1 lines-----
2023-08-16 13:49:33,259 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:19:04,076 | log | INFO | Start connecting to database...
2023-08-16 14:19:04,116 | log | INFO | Successfully connected...
2023-08-16 14:19:04,116 | log | INFO | Establishing Table
2023-08-16 14:19:05,856 | log | INFO | Start read the data
2023-08-16 14:19:05,870 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:19:05,870 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:19:05,870 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:19:05,871 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:19:05,871 | log | INFO | Start inserting the 1 LOG data
2023-08-16 14:19:06,150 | log | INFO | Successfully inserted the 1 LOG data
2023-08-16 14:19:06,150 | log | INFO | Start inserting the 2 LOG data
2023-08-16 14:19:06,428 | log | INFO | Successfully inserted the 2 LOG data
2023-08-16 14:19:06,429 | log | INFO | Start inserting the 3 LOG data
2023-08-16 14:19:06,631 | log | INFO | Successfully inserted the 3 LOG data
2023-08-16 14:19:06,631 | log | INFO | Start inserting the 4 LOG data
2023-08-16 14:20:19,372 | log | INFO | Start connecting to database...
2023-08-16 14:20:19,409 | log | INFO | Successfully connected...
2023-08-16 14:20:19,410 | log | INFO | Establishing Table
2023-08-16 14:20:21,405 | log | INFO | Start read the data
2023-08-16 14:20:21,426 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:20:21,427 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:20:21,427 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:20:21,428 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:20:21,428 | log | INFO | Start inserting the 1 LOG data
2023-08-16 14:20:21,712 | log | INFO | Successfully inserted the 1 LOG data
2023-08-16 14:20:21,714 | log | INFO | Start inserting the 2 LOG data
2023-08-16 14:20:21,992 | log | INFO | Successfully inserted the 2 LOG data
2023-08-16 14:20:21,994 | log | INFO | Start inserting the 3 LOG data
2023-08-16 14:20:22,204 | log | INFO | Successfully inserted the 3 LOG data
2023-08-16 14:20:22,204 | log | INFO | Start inserting the 4 LOG data
2023-08-16 14:20:47,876 | log | INFO | Start connecting to database...
2023-08-16 14:20:47,941 | log | INFO | Successfully connected...
2023-08-16 14:20:47,942 | log | INFO | Establishing Table
2023-08-16 14:20:49,667 | log | INFO | Start read the data
2023-08-16 14:21:13,648 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:21:18,199 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:21:22,791 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:23:56,212 | log | INFO | Start connecting to database...
2023-08-16 14:23:56,247 | log | INFO | Successfully connected...
2023-08-16 14:23:56,248 | log | INFO | Establishing Table
2023-08-16 14:23:57,997 | log | INFO | Start read the data
2023-08-16 14:23:58,008 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:23:58,008 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:23:58,009 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:23:58,009 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:23:58,009 | log | INFO | Start inserting the 1 LOG data
2023-08-16 14:23:58,290 | log | INFO | Successfully inserted the 1 LOG data
2023-08-16 14:23:58,291 | log | INFO | Start inserting the 2 LOG data
2023-08-16 14:23:58,570 | log | INFO | Successfully inserted the 2 LOG data
2023-08-16 14:23:58,571 | log | INFO | Start inserting the 3 LOG data
2023-08-16 14:23:58,778 | log | INFO | Successfully inserted the 3 LOG data
2023-08-16 14:23:58,780 | log | INFO | Start inserting the 4 LOG data
2023-08-16 14:23:59,057 | log | INFO | Successfully inserted the 4 LOG data
2023-08-16 14:23:59,058 | log | INFO | write db done
2023-08-16 14:24:50,733 | log | INFO | Start connecting to database...
2023-08-16 14:24:50,769 | log | INFO | Successfully connected...
2023-08-16 14:24:50,770 | log | INFO | Establishing Table
2023-08-16 14:24:52,602 | log | INFO | Start read the data
2023-08-16 14:24:52,617 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:24:52,618 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:24:52,618 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:24:52,619 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:24:52,619 | log | INFO | Start inserting the 1 LOG data
2023-08-16 14:24:52,923 | log | INFO | Successfully inserted the 1 LOG data
2023-08-16 14:24:52,924 | log | INFO | Start inserting the 2 LOG data
2023-08-16 14:24:53,222 | log | INFO | Successfully inserted the 2 LOG data
2023-08-16 14:24:53,222 | log | INFO | Start inserting the 3 LOG data
2023-08-16 14:24:53,435 | log | INFO | Successfully inserted the 3 LOG data
2023-08-16 14:24:53,436 | log | INFO | Start inserting the 4 LOG data
2023-08-16 14:24:53,730 | log | INFO | Successfully inserted the 4 LOG data
2023-08-16 14:24:53,731 | log | INFO | write db done
2023-08-16 14:26:18,295 | log | INFO | Start connecting to database...
2023-08-16 14:26:18,327 | log | INFO | Successfully connected...
2023-08-16 14:26:18,327 | log | INFO | Establishing Table
2023-08-16 14:26:20,534 | log | INFO | Start read the data
2023-08-16 14:26:20,548 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:26:20,549 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:26:20,549 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:26:20,550 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:26:20,550 | log | INFO | Start inserting the 1 LOG data
2023-08-16 14:26:20,832 | log | INFO | Successfully inserted the 1 LOG data
2023-08-16 14:26:20,834 | log | INFO | Start inserting the 2 LOG data
2023-08-16 14:26:21,109 | log | INFO | Successfully inserted the 2 LOG data
2023-08-16 14:26:21,110 | log | INFO | Start inserting the 3 LOG data
2023-08-16 14:26:21,326 | log | INFO | Successfully inserted the 3 LOG data
2023-08-16 14:26:21,328 | log | INFO | Start inserting the 4 LOG data
2023-08-16 14:26:21,611 | log | INFO | Successfully inserted the 4 LOG data
2023-08-16 14:26:21,612 | log | INFO | write db done
2023-08-16 14:38:45,172 | log | INFO | Start connecting to database...
2023-08-16 14:38:45,210 | log | INFO | Successfully connected...
2023-08-16 14:38:45,211 | log | INFO | Establishing Table
2023-08-16 14:38:46,953 | log | INFO | Start read the data
2023-08-16 14:38:46,968 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:38:46,969 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:38:46,970 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:38:46,971 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:38:46,971 | log | INFO | Start inserting the 5 LOG data
2023-08-16 14:38:47,252 | log | INFO | Inserting a log
2023-08-16 14:38:47,252 | log | INFO | Start inserting the 5 LOG data
2023-08-16 14:38:47,531 | log | INFO | Inserting a log
2023-08-16 14:38:47,533 | log | INFO | Start inserting the 5 LOG data
2023-08-16 14:38:47,741 | log | INFO | Inserting a log
2023-08-16 14:38:47,742 | log | INFO | Start inserting the 5 LOG data
2023-08-16 14:38:48,020 | log | INFO | Inserting a log
2023-08-16 14:38:48,022 | log | INFO | Successfully inserted the all LOG data, write db done
2023-08-16 14:41:23,569 | log | INFO | Start connecting to database...
2023-08-16 14:41:23,602 | log | INFO | Successfully connected...
2023-08-16 14:41:23,603 | log | INFO | Establishing Table
2023-08-16 14:41:25,409 | log | INFO | Start read the data
2023-08-16 14:41:25,427 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:41:25,428 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:41:25,428 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:41:25,429 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:41:25,429 | log | INFO | Start inserting the 1 data
2023-08-16 14:41:25,709 | log | INFO | Inserting the {count} data
2023-08-16 14:41:25,710 | log | INFO | Start inserting the 2 data
2023-08-16 14:41:25,987 | log | INFO | Inserting the {count} data
2023-08-16 14:41:25,988 | log | INFO | Start inserting the 3 data
2023-08-16 14:41:26,200 | log | INFO | Inserting the {count} data
2023-08-16 14:41:26,201 | log | INFO | Start inserting the 4 data
2023-08-16 14:41:26,486 | log | INFO | Inserting the {count} data
2023-08-16 14:41:26,487 | log | INFO | Successfully inserted the all LOG data, write db done
2023-08-16 14:41:40,486 | log | INFO | Start connecting to database...
2023-08-16 14:41:40,529 | log | INFO | Successfully connected...
2023-08-16 14:41:40,529 | log | INFO | Establishing Table
2023-08-16 14:41:42,246 | log | INFO | Start read the data
2023-08-16 14:41:42,259 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:41:42,261 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:41:42,261 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:41:42,262 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:41:42,262 | log | INFO | Start inserting the 1 data
2023-08-16 14:41:42,542 | log | INFO | Inserting the 1 data
2023-08-16 14:41:42,542 | log | INFO | Start inserting the 2 data
2023-08-16 14:41:42,816 | log | INFO | Inserting the 2 data
2023-08-16 14:41:42,817 | log | INFO | Start inserting the 3 data
2023-08-16 14:41:43,024 | log | INFO | Inserting the 3 data
2023-08-16 14:41:43,024 | log | INFO | Start inserting the 4 data
2023-08-16 14:41:43,299 | log | INFO | Inserting the 4 data
2023-08-16 14:41:43,300 | log | INFO | Successfully inserted the all LOG data, write db done
2023-08-16 14:42:09,303 | log | INFO | Start connecting to database...
2023-08-16 14:42:09,334 | log | INFO | Successfully connected...
2023-08-16 14:42:09,336 | log | INFO | Establishing Table
2023-08-16 14:42:09,339 | log | INFO | Start read the data
2023-08-16 14:42:09,344 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:42:09,345 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:42:09,345 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:42:09,346 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:42:09,346 | log | INFO | Start inserting the 1 data
2023-08-16 14:44:08,718 | log | INFO | Start connecting to database...
2023-08-16 14:44:08,751 | log | INFO | Successfully connected...
2023-08-16 14:44:08,752 | log | INFO | Establishing Table
2023-08-16 14:44:08,755 | log | INFO | Start read the data
2023-08-16 14:44:08,759 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:44:08,759 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:44:08,759 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:44:08,759 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:44:08,761 | log | INFO | Start inserting the 1 data
2023-08-16 14:45:24,098 | log | INFO | Start connecting to database...
2023-08-16 14:45:24,132 | log | INFO | Successfully connected...
2023-08-16 14:45:24,133 | log | INFO | Establishing Table
2023-08-16 14:45:24,137 | log | INFO | Start read the data
2023-08-16 14:45:24,141 | log | INFO | ----Completed 1 lines-----
2023-08-16 14:45:24,141 | log | INFO | ----Completed 2 lines-----
2023-08-16 14:45:24,142 | log | INFO | ----Completed 3 lines-----
2023-08-16 14:45:24,142 | log | INFO | ----Completed 4 lines-----
2023-08-16 14:45:24,142 | log | INFO | Start inserting the 1 data
2023-08-16 14:45:25,909 | log | INFO | Inserting the 1 data
2023-08-16 14:45:25,909 | log | INFO | Start inserting the 2 data
2023-08-16 14:45:26,183 | log | INFO | Inserting the 2 data
2023-08-16 14:45:26,183 | log | INFO | Start inserting the 3 data
2023-08-16 14:45:26,415 | log | INFO | Inserting the 3 data
2023-08-16 14:45:26,417 | log | INFO | Start inserting the 4 data
2023-08-16 14:45:26,634 | log | INFO | Inserting the 4 data
2023-08-16 14:45:26,634 | log | INFO | Successfully inserted the all LOG data, write db done
